118,23,4,4,7,10,0,\N,73,3,154.413
119,23,18,11,11,11,0,\N,74,10,151.089
120,23,10,7,10,12,0,\N,75,11,151.021
121,23,15,7,8,13,0,\N,75,12,150.620
122,23,2,2,12,14,0,\N,72,14,149.829
123,23,16,10,18,15,0,\N,60,16,146.564
124,23,3,3,6,16,0,\N,58,15,147.951
125,23,12,4,17,17,0,\N,40,17,131.860
126,23,21,10,20,18,0,\N,33,18,129.500
127,23,14,9,15,19,0,\N,7,20,117.753
128,23,7,5,16,20,0,\N,7,19,118.872
129,24,9,2,2,1,10,1:36:24.227,47,4,202.473
130,24,2,2,8,2,8,+16.495,25,2,202.758
131,24,14,9,13,3,6,+23.352,36,7,201.057
132,24,10,7,11,4,5,+42.627,31,17,198.510
133,24,13,6,6,5,4,+43.934,11,6,201.261
134,24,15,7,14,6,3,+47.775,38,15,199.056
135,24,22,11,9,7,2,+53.597,35,10,200.503
136,24,20,5,19,8,1,+54.120,33,12,199.913
137,24,5,1,7,9,0,+54.433,62,11,200.091
138,24,3,3,5,10,0,+54.749,14,5,201.336
139,24,18,11,20,11,0,+1:07.540,58,19,197.847
140,24,17,9,10,12,0,+1:11.299,51,8,200.759
141,24,7,5,18,13,0,\N,34,13,199.689
142,24,21,10,17,14,0,\N,41,16,198.563
143,24,6,3,12,15,0,\N,30,14,199.273
144,24,4,4,4,16,0,\N,16,9,200.697
145,24,12,4,15,17,0,\N,16,18,198.129
146,24,8,6,3,18,0,\N,14,1,202.871
147,24,1,1,1,19,0,\N,4,3,202.559
148,24,16,10,16,20,0,\N,7,20,194.624
149,25,13,6,2,1,10,1:31:50.245,20,2,206.956
150,25,8,6,1,2,8,+17.984,16,1,207.224
151,25,15,7,4,3,6,+28.250,12,7,204.721
152,25,5,1,10,4,5,+28.929,46,3,205.870
153,25,9,2,5,5,4,+30.512,16,4,205.768
154,25,17,9,6,6,3,+40.304,22,6,204.879
155,25,12,4,9,7,2,+41.033,24,10,204.218
156,25,4,4,3,8,1,+43.372,39,8,204.525
157,25,14,9,7,9,0,+51.021,23,12,204.060
158,25,1,1,13,10,0,+54.538,40,5,205.022
159,25,10,7,8,11,0,+57.700,45,13,204.013
160,25,20,5,12,12,0,+58.065,36,11,204.212
161,25,2,2,11,13,0,+1:02.079,46,9,204.328
162,25,22,11,20,14,0,\N,54,14,203.665
